indicatorType,fileHashValue,emailSenderAddress,networkIPv4,url,domainName,FileCreatedDateTime,action,activityGroupNames,additionalInformation,confidence,description,expirationDateTime,externalId,indicatorProvider,killChain,malwareFamilyNames,severity,tags,targetProduct,threatType,tlpLevel
IPv4,,,46.217.175.86,,,,alert,,,<set in app>,An attacker used a brute force attack,<set in app>,,<set in app>,,,0,,Azure Sentinel,Botnet,white
IPv4,,,217.23.3.138,,,,alert,,,<set in app>,An attacker used a brute force attack,<set in app>,,<set in app>,,,0,,Azure Sentinel,Botnet,white
IPv4,,,217.23.3.138,,,,alert,,,<set in app>,An attacker used a brute force attack,<set in app>,,<set in app>,,,0,,Azure Sentinel,Botnet,white
IPv4,,,89.39.105.84,,,,alert,,,<set in app>,An attacker used a brute force attack,<set in app>,,<set in app>,,,0,,Azure Sentinel,Botnet,white
IPv4,,,89.39.104.123,,,,alert,,,<set in app>,An attacker used a brute force attack,<set in app>,,<set in app>,,,0,,Azure Sentinel,Botnet,white
IPv4,,,89.38.96.13,,,,alert,,,<set in app>,An attacker used a brute force attack,<set in app>,,<set in app>,,,0,,Azure Sentinel,Botnet,white
IPv4,,,217.23.12.117,,,,alert,,,<set in app>,An attacker used a brute force attack,<set in app>,,<set in app>,,,0,,Azure Sentinel,Botnet,white
IPv4,,,103.220.30.234,,,,alert,,,<set in app>,An attacker used a brute force attack,<set in app>,,<set in app>,,,0,,Azure Sentinel,Botnet,white
IPv4,,,62.112.11.79,,,,alert,,,<set in app>,An attacker used a brute force attack,<set in app>,,<set in app>,,,0,,Azure Sentinel,Botnet,white
IPv4,,,217.23.3.138,,,,alert,,,<set in app>,An attacker used a brute force attack,<set in app>,,<set in app>,,,0,,Azure Sentinel,Botnet,white
IPv4,,,1.4.240.6,,,,alert,,,<set in app>,An attacker used a brute force attack,<set in app>,,<set in app>,,,0,,Azure Sentinel,Botnet,white
IPv4,,,193.105.134.45,,,,alert,,,<set in app>,An attacker used a brute force attack,<set in app>,,<set in app>,,,0,,Azure Sentinel,Botnet,white
IPv4,,,193.105.134.45,,,,alert,,,<set in app>,An attacker used a brute force attack,<set in app>,,<set in app>,,,0,,Azure Sentinel,Botnet,white
IPv4,,,62.112.11.8,,,,alert,,,<set in app>,An attacker used a brute force attack,<set in app>,,<set in app>,,,0,,Azure Sentinel,Botnet,white
IPv4,,,194.88.107.163,,,,alert,,,<set in app>,An attacker used a brute force attack,<set in app>,,<set in app>,,,0,,Azure Sentinel,Botnet,white
IPv4,,,190.2.144.45,,,,alert,,,<set in app>,An attacker used a brute force attack,<set in app>,,<set in app>,,,0,,Azure Sentinel,Botnet,white
url,,,,http://betaalverzoek.ir/binInfect.sh,,,alert,,,<set in app>,An attacker used a brute force attack,<set in app>,,<set in app>,,,0,,Azure Sentinel,Botnet,white
URL,,,,https://raw.githubusercontent.com/C3Pool/xmrig_setup/master/setup_c3pool_miner.sh,,,alert,,,<set in app>,An attacker used a brute force attack,<set in app>,,<set in app>,,,0,,Azure Sentinel,Botnet,white
URL,,,,http://209.141.54.197/ssh,,,alert,,,<set in app>,An attacker used a brute force attack,<set in app>,,<set in app>,,,0,,Azure Sentinel,Botnet,white
URL,,,,http://212.192.241.44,,,alert,,,<set in app>,An attacker used a brute force attack,<set in app>,,<set in app>,,,0,,Azure Sentinel,Botnet,white
URL,,,,http://212.192.241.44/Gbotbins.sh,,,alert,,,<set in app>,An attacker used a brute force attack,<set in app>,,<set in app>,,,0,,Azure Sentinel,Botnet,white
URL,,,,http://168.138.143.186/setup.sh,,,alert,,,<set in app>,An attacker used a brute force attack,<set in app>,,<set in app>,,,0,,Azure Sentinel,Botnet,white
URL,,,,http://195.133.40.119,,,alert,,,<set in app>,An attacker used a brute force attack,<set in app>,,<set in app>,,,0,,Azure Sentinel,Botnet,white
URL,,,,http://198.98.56.65/krax,,,alert,,,<set in app>,An attacker used a brute force attack,<set in app>,,<set in app>,,,0,,Azure Sentinel,Botnet,white
