Name,Version,Type,Category,Severity,Role,Level,Role2,Level2
Active_Directory_cannot_boot_normally_because_the_database_was_in_an_incorrect_state_5_Rule,EventCollection,Availability,Moderate/Limited,Medium,Service,Infrastructure,Service,Management
AD_Database_and_Log_DBSpace.Monitor,AvailabilityHealth,Availability,Moderate/Limited,Medium,Service,Infrastructure,Service,Management
AD_Database_and_Log_LogSpace.Monitor,AvailabilityHealth,Availability,Moderate/Limited,Medium,Service,Infrastructure,Service,Management
AD_database_is_corrupt_5_Rule,EventCollection,Availability,Moderate/Limited,Medium,Service,Infrastructure,Service,Management
Attempts_to_update_Active_Directory_are_failing_5_Rule,EventCollection,Availability,Moderate/Limited,Medium,Service,Infrastructure,Service,Management
Exchange2007.Cas.MSExchangeActiveSync.1022,EventCollection,Availability,Moderate/Limited,Medium,Service,Infrastructure,Service,Management
Exchange2007.Cas.MSExchangeActiveSync.1032,EventCollection,Availability,Moderate/Limited,Medium,Service,Infrastructure,Service,Management
Exchange2007.Mailbox.MSExchangeIS.1004,EventCollection,Availability,Moderate/Limited,Medium,Service,Infrastructure,Service,Management
Exchange2007.Mailbox.MSExchangeIS.1005,EventCollection,Availability,Moderate/Limited,Medium,Service,Infrastructure,Service,Management
Exchange2007.Mailbox.MSExchangeIS.1124,EventCollection,Availability,Moderate/Limited,Medium,Service,Infrastructure,Service,Management
Exchange2007.Mailbox.MSExchangeIS.2090,EventCollection,Availability,Moderate/Limited,Medium,Service,Infrastructure,Service,Management
Exchange2007.Mailbox.MSExchangeIS.9518,EventCollection,Availability,Moderate/Limited,Medium,Service,Infrastructure,Service,Management
Exchange2007.Mailbox.MSExchangeIS.9564,EventCollection,Availability,Moderate/Limited,Medium,Service,Infrastructure,Service,Management
Exchange2007.Mailbox.MSExchangeMailSubmission.1002,EventCollection,Availability,Moderate/Limited,Medium,Service,Infrastructure,Service,Management
Exchange2007.Mailbox.MSExchangeSA.9395,EventCollection,Availability,Moderate/Limited,Medium,Service,Infrastructure,Service,Management
